winner_fighter,looser_fighter,match_number,method,referee,number_rounds,round_time,weight_class,event_date,event_location,event_name
Alan Jouban,Matt Dwyer,"


                        7                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Sam Sicilia,Yaotzin Meza,"


                        6                    ",Decision (Unanimous),Jason Herzog,3,5:00,Featherweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Jessica Andrade,Sarah Moras,"


                        5                    ",Decision (Unanimous),John McCarthy,3,5:00,Bantamweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Rani Yahya,Masanori Kanehara,"


                        4                    ",Decision (Split),Jason Herzog,3,5:00,Bantamweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Sean Strickland,Igor Araujo,"


                        3                    ",Decision (Unanimous),John McCarthy,3,5:00,Welterweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Kevin Casey,Ildemar Alcantara,"


                        2                    ",Decision (Unanimous),Herb Dean,3,5:00,Middleweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
Lyman Good,Andrew Craig,"


                        1                    ",KO (Punches),Jason Herzog,2,3:37,Welterweight,2015-07-15T00:00:00-07:00," Valley View Casino Center, San Diego, California, United States",UFC Fight Night 71 - Mir vs. Duffee
"
Stephen Thompson
","
Jake Ellenberger
",Match 11,Method KO (Spinning Wheel Kick),Referee John McCarthy,Round 1,Time 4:29,Welterweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Kamaru Usman,Hayder Hassan,"


                        10                    ",Submission (Arm-Triangle Choke),Herb Dean,2,1:19,Welterweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Michael Graves,Vicente Luque,"


                        9                    ",Decision (Unanimous),Yves Lavigne,3,5:00,Welterweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Jorge Masvidal,Cezar Ferreira,"


                        8                    ",KO (Elbows and Punches),John McCarthy,1,4:22,Welterweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Michelle Waterson,Angela Magana,"


                        7                    ",Submission (Rear-Naked Choke),Herb Dean,3,2:38,Strawweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Maximo Blanco,Mike de la Torre,"


                        6                    ",TKO (Punches),Yves Lavigne,1,0:16,149lb Catchweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Josh Samman,Caio Magalhaes,"


                        5                    ",Submission (Rear-Naked Choke),John McCarthy,1,2:52,Middleweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Jerrod Sanders,Russell Doane,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Bantamweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Trevor Smith,Dan Miller,"


                        3                    ",Decision (Unanimous),Kim Winslow,3,5:00,Middleweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
George Sullivan,Dominic Waters,"


                        2                    ",Decision (Unanimous),Yves Lavigne,3,5:00,Welterweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
Willie Gates,Darrell Montague,"


                        1                    ",TKO (Punches and Elbows),Kim Winslow,1,1:36,Flyweight,2015-07-12T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC - The Ultimate Fighter 21 Finale
"
Conor McGregor
","
Chad Mendes
",Match 11,Method TKO (Punches),Referee Herb Dean,Round 2,Time 4:57,Featherweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Robbie Lawler,Rory MacDonald,"


                        10                    ",TKO (Punches),John McCarthy,5,1:00,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Jeremy Stephens,Dennis Bermudez,"


                        9                    ",TKO (Knee and Punches),Marc Goddard,3,0:32,150lb Catchweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Gunnar Nelson,Brandon Thatch,"


                        8                    ",Submission (Rear-Naked Choke),Herb Dean,1,2:54,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Thomas Almeida,Brad Pickett,"


                        7                    ",KO (Knee),John McCarthy,2,0:29,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Matt Brown,Tim Means,"


                        6                    ",Submission (Guillotine Choke),Marc Goddard,1,4:44,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Alex Garcia,Mike Swick,"


                        5                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
John Howard,Cathal Pendred,"


                        4                    ",Decision (Split),John McCarthy,3,5:00,Welterweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Cody Garbrandt,Enrique Briones,"


                        3                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Bantamweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Louis Smolka,Neil Seery,"


                        2                    ",Decision (Unanimous),Marc Goddard,3,5:00,Flyweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
Cody Pfister,Yosdenis Cedeno,"


                        1                    ",Decision (Unanimous),Chris Tognoni,3,5:00,Lightweight,2015-07-11T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 189 - Mendes vs. McGregor
"
Yoel Romero
","
Lyoto Machida
",Match 9,Method KO (Elbows),Referee John McCarthy,Round 3,Time 1:38,Middleweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Lorenz Larkin,Santiago Ponzinibbio,"


                        8                    ",TKO (Punches),Herb Dean,2,3:07,Welterweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Antonio Carlos Jr.,Eddie Gordon,"


                        7                    ",Submission (Rear-Naked Choke),Jorge Alonso,3,4:37,Middleweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Thiago Santos,Steve Bosse,"


                        6                    ",KO (Head Kick),James Warring,1,0:29,Middleweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Hacran Dias,Levan Makashvili,"


                        5                    ",Decision (Split),John McCarthy,3,5:00,Featherweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Alex Oliveira,Joe Merritt,"


                        4                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Leandro Silva,Lewis Gonzalez,"


                        3                    ",Decision (Unanimous),Jorge Alonso,3,5:00,Welterweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Tony Sims,Steve Montgomery,"


                        2                    ",KO (Punches),James Warring,1,2:43,Welterweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
Sirwan Kakai,Danny Martinez,"


                        1                    ",Decision (Unanimous),John McCarthy,3,5:00,Bantamweight,2015-06-27T00:00:00-07:00," Seminole Hard Rock Hotel and Casino, Hollywood, Florida, United States",UFC Fight Night 70 - Machida vs. Romero
"
Joanna Jedrzejczyk
","
Jessica Penne
",Match 11,Method TKO (Punches and Knee),Referee Marc Goddard,Round 3,Time 4:22,Strawweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Tatsuya Kawajiri,Dennis Siver,"


                        10                    ",Decision (Unanimous),Leon Roberts,3,5:00,Featherweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Peter Sobotta,Steve Kennedy,"


                        9                    ",Submission (Rear-Naked Choke),Wolf Menninger,1,2:57,Welterweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Nick Hein,Lukasz Sajewski,"


                        8                    ",Decision (Unanimous),Kevin Sataki,3,5:00,Lightweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Makwan Amirkhani,Masio Fullen,"


                        7                    ",Submission (Rear-Naked Choke),Leon Roberts,1,1:41,Featherweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Mairbek Taisumov,Alan Patrick,"


                        6                    ",TKO (Head Kick and Punches),Kevin Sataki,2,1:30,Lightweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Arnold Allen,Alan Omer,"


                        5                    ",Submission (Guillotine Choke),Wolf Menninger,3,1:41,Featherweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Noad Lahat,Niklas Backstrom,"


                        4                    ",Decision (Majority),Marc Goddard,3,5:00,Featherweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Scott Askham,Antonio dos Santos Jr.,"


                        3                    ",KO (Knees),Leon Roberts,1,2:52,Middleweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Magomed Mustafaev,Piotr Hallmann,"


                        2                    ",TKO (Doctor Stoppage),Kevin Sataki,2,3:24,Lightweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
Taylor Lapilus,Yuta Sasaki,"


                        1                    ",TKO (Punches),Wolf Menninger,2,1:26,Bantamweight,2015-06-20T00:00:00-07:00," O2 World, Berlin, Germany, Germany",UFC Fight Night 69 - Jedrzejczyk vs. Penne
"
Fabricio Werdum
","
Cain Velasquez
",Match 11,Method Submission (Guillotine Choke),Referee Herb Dean,Round 3,Time 2:13,Heavyweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Eddie Alvarez,Gilbert Melendez,"


                        10                    ",Decision (Split),John McCarthy,3,5:00,Lightweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Kelvin Gastelum,Nate Marquardt,"


                        9                    ",TKO (Corner Stoppage),Dan Miragliotta,2,5:00,Middleweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Yair Rodriguez,Charles Rosa,"


                        8                    ",Decision (Split),Mario Yamasaki,3,5:00,Featherweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Tecia Torres,Angela Hill,"


                        7                    ",Decision (Unanimous),John McCarthy,3,5:00,Strawweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Henry Cejudo,Chico Camus,"


                        6                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,Flyweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Efrain Escudero,Drew Dober,"


                        5                    ",Submission (Guillotine Choke),Herb Dean,1,0:54,Lightweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Patrick Williams,Alejandro Perez,"


                        4                    ",Technical Submission (Guillotine Choke),Dan Miragliotta,1,0:23,Bantamweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Johnny Case,Francisco Trevino,"


                        3                    ",Decision (Unanimous),John McCarthy,3,5:00,Lightweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Cathal Pendred,Augusto Montano,"


                        2                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
Gabriel Benitez,Clay Collard,"


                        1                    ",Decision (Unanimous),Mario Yamasaki,3,5:00,Featherweight,2015-06-13T00:00:00-07:00," Mexico City Arena, Mexico City, Federal District, Mexico",UFC 188 - Velasquez vs. Werdum
"
Dan Henderson
","
Tim Boetsch
",Match 12,Method KO (Punches),Referee John McCarthy,Round 1,Time 0:28,Middleweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Ben Rothwell,Matt Mitrione,"


                        11                    ",Submission (Guillotine Choke),Dan Miragliotta,1,1:54,Heavyweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Dustin Poirier,Yancy Medeiros,"


                        10                    ",TKO (Punches),John McCarthy,1,2:38,160lb Catchweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Brian Ortega,Thiago Tavares,"


                        9                    ",TKO (Punches),Dan Miragliotta,3,4:10,Featherweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Anthony Birchak,Joe Soto,"


                        8                    ",KO (Punches),John McCarthy,1,1:37,Bantamweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Francisco Rivera,Alex Caceres,"


                        7                    ",KO (Punches),Dan Miragliotta,1,0:21,Bantamweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Shawn Jordan,Derrick Lewis,"


                        6                    ",TKO (Hook Kick and Punches),Gabe Barahona,2,0:48,Heavyweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Omari Akhmedov,Brian Ebersole,"


                        5                    ",TKO (Knee Injury),Jordan Bass,1,5:00,Welterweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Chris Wade,Christos Giagos,"


                        4                    ",Decision (Unanimous),Robbie Scheuermann,3,5:00,Lightweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Joe Proctor,Justin Edwards,"


                        3                    ",Technical Submission (Guillotine Choke),Myron Gaudet,3,4:58,Lightweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Jake Collier,Ricardo Abreu,"


                        2                    ",Decision (Split),Jordan Bass,3,5:00,Middleweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
Jose Alberto Quinonez,Leonardo Morales,"


                        1                    ",Submission (Rear-Naked Choke),Robbie Scheuermann,1,2:34,137lb Catchweight,2015-06-06T00:00:00-07:00," Smoothie King Center, New Orleans, Louisiana, United States",UFC Fight Night 68 - Boetsch vs. Henderson
"
Carlos Condit
","
Thiago Alves
",Match 12,Method TKO (Doctor Stoppage),Referee Mario Yamasaki,Round 2,Time 5:00,Welterweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Charles Oliveira,Nik Lentz,"


                        11                    ",Submission (Guillotine Choke),Kevin MacDonald,3,1:10,Featherweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Alex Oliveira,K.J. Noons,"


                        10                    ",Submission (Rear-Naked Choke),Mario Yamasaki,1,2:51,Lightweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Francimar Barroso,Ryan Jimmo,"


                        9                    ",Decision (Unanimous),Kevin MacDonald,3,5:00,Light Heavyweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Francisco Trinaldo,Norman Parke,"


                        8                    ",Decision (Split),Camila Albuquerque,3,5:00,Lightweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Darren Till,Wendell de Oliveira Marques,"


                        7                    ",KO (Elbows),Fernando Yamasaki,2,1:37,Welterweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Rony Mariano Bezerra,Damon Jackson,"


                        6                    ",No Contest (Overturned by CABMMA),Kevin MacDonald,1,3:31,Featherweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Jussier Formiga,Wilson Reis,"


                        5                    ",Decision (Unanimous),Camila Albuquerque,3,5:00,Flyweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Nicolas Dalby,Elizeu Zaleski dos Santos,"


                        4                    ",Decision (Split),Fernando Yamasaki,3,5:00,Welterweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Mirsad Bektic,Lucas Martins,"


                        3                    ",TKO (Punches),Mario Yamasaki,2,0:30,Featherweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Juliana Lima,Ericka Almeida,"


                        2                    ",Decision (Unanimous),Camila Albuquerque,3,5:00,Strawweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
Tom Breese,Luiz Jorge Dutra Jr.,"


                        1                    ",TKO (Punches),Fernando Yamasaki,1,4:58,Welterweight,2015-05-30T00:00:00-07:00," Goiania Arena, Goiania, Goias, Brazil",UFC Fight Night 67 - Condit vs. Alves
"
Daniel Cormier
","
Anthony Johnson
",Match 11,Method Submission (Rear-Naked Choke),Referee John McCarthy,Round 3,Time 2:39,Light Heavyweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Chris Weidman,Vitor Belfort,"


                        10                    ",TKO (Punches),Herb Dean,1,2:53,Middleweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Donald Cerrone,John Makdessi,"


                        9                    ",TKO (Head Kick),Jason Herzog,2,4:44,Lightweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Andrei Arlovski,Travis Browne,"


                        8                    ",TKO (Punches),Mark Smith,1,4:41,Heavyweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Joseph Benavidez,John Moraga,"


                        7                    ",Decision (Unanimous),John McCarthy,3,5:00,Flyweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
John Dodson,Zach Makovsky,"


                        6                    ",Decision (Unanimous),Herb Dean,3,5:00,Flyweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Dong Hyun Kim,Joshua Burkman,"


                        5                    ",Submission (Arm-Triangle Choke),Jason Herzog,3,2:13,Welterweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Rafael Natal,Uriah Hall,"


                        4                    ",Decision (Split),Mark Smith,3,5:00,Middleweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Colby Covington,Mike Pyle,"


                        3                    ",Decision (Unanimous),Herb Dean,3,5:00,Welterweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Islam Makhachev,Leo Kuntz,"


                        2                    ",Submission (Rear-Naked Choke),Jason Herzog,2,2:38,Lightweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
Justin Scoggins,Josh Sampo,"


                        1                    ",Decision (Unanimous),Mark Smith,3,5:00,Flyweight,2015-05-23T00:00:00-07:00," MGM Grand Garden Arena, Las Vegas, Nevada, United States",UFC 187 - Johnson vs. Cormier
"
Frankie Edgar
","
Urijah Faber
",Match 12,Method Decision (Unanimous),Referee Steve Perceval,Round 5,Time 5:00,Featherweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Gegard Mousasi,Costas Philippou,"


                        11                    ",Decision (Unanimous),Greg Kleynjans,3,5:00,Middleweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Mark Munoz,Luke Barnatt,"


                        10                    ",Decision (Unanimous),Terry Hill,3,5:00,Middleweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Neil Magny,Hyun Gyu Lim,"


                        9                    ",TKO (Punches),Steve Perceval,2,1:24,Welterweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Phillipe Nover,Yui Chul Nam,"


                        8                    ",Decision (Split),Greg Kleynjans,3,5:00,Featherweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Levan Makashvili,Mark Eddiva,"


                        7                    ",Decision (Split),Terry Hill,3,5:00,Featherweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Jon Tuck,Tae Hyun Bang,"


                        6                    ",Submission (Rear-Naked Choke),Steve Perceval,1,3:56,Lightweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Kajan Johnson,Lipeng Zhang,"


                        5                    ",Decision (Unanimous),Greg Kleynjans,3,5:00,Lightweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Jingliang Li,Dhiego Lima,"


                        4                    ",KO (Punches),Terry Hill,1,1:25,Welterweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Guangyou Ning,Royston Wee,"


                        3                    ",TKO (Punches and Elbows),Steve Perceval,2,4:59,137lb Catchweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Jon delos Reyes,Roldan Sangcha-an,"


                        2                    ",Submission (Rear-Naked Choke),Greg Kleynjans,2,3:13,Flyweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
Zhikui Yao,Nolan Ticman,"


                        1                    ",Decision (Split),Terry Hill,3,5:00,Flyweight,2015-05-16T00:00:00-07:00," Mall of Asia Arena, Pasay, Metro Manila, Philippines",UFC Fight Night 66 - Edgar vs. Faber
"
Stipe Miocic
","
Mark Hunt
",Match 12,Method TKO (Punches),Referee John Sharp,Round 5,Time 2:47,Heavyweight,2015-05-10T00:00:00-07:00," Adelaide Entertainment Centre, Adelaide, South Australia, Australia",UFC Fight Night 65 - Miocic vs. Hunt
Robert Whittaker,Brad Tavares,"


                        11                    ",KO (Punches),Steve Perceval,1,0:44,Middleweight,2015-05-10T00:00:00-07:00," Adelaide Entertainment Centre, Adelaide, South Australia, Australia",UFC Fight Night 65 - Miocic vs. Hunt
Sean O'Connell,Anthony Perosh,"


                        10                    ",TKO (Punches),Greg Kleynjans,1,0:56,Light Heavyweight,2015-05-10T00:00:00-07:00," Adelaide Entertainment Centre, Adelaide, South Australia, Australia",UFC Fight Night 65 - Miocic vs. Hunt
James Vick,Jake Matthews,"


                        9                    ",Submission (Guillotine Choke),Steve Perceval,1,4:53,Lightweight,2015-05-10T00:00:00-07:00," Adelaide Entertainment Centre, Adelaide, South Australia, Australia",UFC Fight Night 65 - Miocic vs. Hunt
Dan Hooker,Hatsu Hioki,"


                        8                    ",KO (Head Kick and Punches),John Sharp,2,4:13,Featherweight,2015-05-10T00:00:00-07:00," Adelaide Entertainment Centre, Adelaide, South Australia, Australia",UFC Fight Night 65 - Miocic vs. Hunt
